station;x;y;element;value;anomaly;anom_type
BM0018;238864;7903218;Ce (ppm);2.6103939697123133;2.382899445656827;2
BM0021;261042;7914599;Ce (ppm);2.9234201882926025;2.800550140346533;1
BM0030A;243046;7927051;Ce (ppm);2.923787841731059;2.800550140346533;1
BM0031;243702;7927471;Ce (ppm);2.4444976007902155;2.382899445656827;2
BM0032;242429;7931225;Ce (ppm);2.4663782075646714;2.382899445656827;2
BM0034;238520;7933787;Ce (ppm);2.4280537613796307;2.382899445656827;2
BM0035;239153;7934874;Ce (ppm);2.4827164091412324;2.382899445656827;2
BM0037;239315;7939839;Ce (ppm);2.58182454898773;2.382899445656827;2
BM0040A;240572;7939356;Ce (ppm);2.703385966615356;2.382899445656827;2
BM0041;239517;7938890;Ce (ppm);2.617335898009838;2.382899445656827;2
BM0043;239721;7941627;Ce (ppm);2.5578198775907914;2.382899445656827;2
BM0046;237579;7945520;Ce (ppm);2.7812310335040067;2.382899445656827;2
BM0047;238999;7945316;Ce (ppm);2.500689200780834;2.382899445656827;2
BM0049;238279;7946291;Ce (ppm);2.524889210994611;2.382899445656827;2
BM0050A;236447;7950407;Ce (ppm);2.4716436990413864;2.382899445656827;2
BM0052;240311;7950776;Ce (ppm);2.5438818782481594;2.382899445656827;2
ED0060A;254483;7927400;Ce (ppm);2.516746850913505;2.382899445656827;2
MR0011;264649;7902055;Ce (ppm);2.428345408184885;2.382899445656827;2
MR0014;268046;7901229;Ce (ppm);2.394223966772368;2.382899445656827;2
MR0040A;247651;7951307;Ce (ppm);2.439585300777564;2.382899445656827;2
MR0042;247572;7950115;Ce (ppm);2.401452239428341;2.382899445656827;2
MR0048;247351;7945523;Ce (ppm);2.433385757417938;2.382899445656827;2
AC-0053;309060;7900408;Ce (ppm);2.671728088239558;2.382899445656827;2
MR-0209;304352;7911327;Ce (ppm);2.465367978095041;2.382899445656827;2
SQ-0020A;339604;7952821;Ce (ppm);2.4499718105668924;2.382899445656827;2
SQ-0021;337232;7952778;Ce (ppm);2.5040084564010465;2.382899445656827;2
MR-0207;308152;7915221;Co (ppm);2.0342272607705505;1.972564234208511;2
MR-0208;305455;7913164;Co (ppm);2.2940250940953226;1.972564234208511;2
MR-0209;304352;7911327;Co (ppm);2.4186326873540653;1.972564234208511;2
SM-0151;299434;7900851;Co (ppm);2.190611797813605;1.972564234208511;2
SM-0107;251216;7962685;Cr (ppm);2.677606952720493;2.394449959738737;2
SM-0076;335692;7960900;Cr (ppm);2.5538830266438746;2.394449959738737;2
AC0008;251395;7934004;Cr (ppm);2.4683473304121573;2.394449959738737;2
BM0028;236767;7925246;Cr (ppm);2.680335513414563;2.394449959738737;2
ED0028;278110;7948405;Cr (ppm);2.561101383649056;2.394449959738737;2
AC-0043;309209;7916627;Cr (ppm);2.699837725867246;2.394449959738737;2
AC-0045;312312;7916103;Cr (ppm);2.7267272090265724;2.394449959738737;2
AC-0046;309915;7913907;Cr (ppm);2.44870631990508;2.394449959738737;2
AC-0048;314578;7908161;Cr (ppm);2.5899496013257077;2.394449959738737;2
AC-0050A;314543;7905339;Cr (ppm);2.606381365110605;2.394449959738737;2
EC-0126;319696;7909836;Cr (ppm);2.462397997898956;2.394449959738737;2
EC-0127;316724;7913807;Cr (ppm);2.444044795918076;2.394449959738737;2
MR-0207;308152;7915221;Cr (ppm);3.041787318971752;2.9628251167766484;1
MR-0208;305455;7913164;Cr (ppm);3.621176281775035;2.9628251167766484;1
MR-0209;304352;7911327;Cr (ppm);3.499412125672275;2.9628251167766484;1
MR-0210A;305888;7907352;Cr (ppm);3.2005769267548483;2.9628251167766484;1
MR-0211;305520;7915678;Cr (ppm);2.8555191556678;2.394449959738737;2
MR-0212;307288;7917333;Cr (ppm);2.8790958795000727;2.394449959738737;2
SQ-0020A;339604;7952821;Cr (ppm);2.921686475483602;2.394449959738737;2
SQ-0021;337232;7952778;Cr (ppm);2.576341350205793;2.394449959738737;2
SQ-0038;290289;7939846;Cr (ppm);2.503790683057181;2.394449959738737;2
SM-0112;255200;7975984;Cs (ppm);0.7745169657285496;0.7606232796170984;2
SM-0113;250688;7956287;Cs (ppm);0.8254261177678232;0.7606232796170984;2
AC0010A;248844;7929813;Cs (ppm);0.8202014594856403;0.7606232796170984;2
AC0013;250662;7930506;Cs (ppm);0.9790929006383263;0.7606232796170984;2
AC0014;248985;7934608;Cs (ppm);0.8318697742805017;0.7606232796170984;2
AC0017;250877;7928358;Cs (ppm);0.8920946026904804;0.7606232796170984;2
AC0020A;253004;7932816;Cs (ppm);0.7649229846498885;0.7606232796170984;2
BM0009;253632;7913569;Cs (ppm);0.814913181275074;0.7606232796170984;2
BM0029;245062;7927510;Cs (ppm);0.9804578922761;0.7606232796170984;2
BM0030A;243046;7927051;Cs (ppm);0.8721562727482928;0.7606232796170984;2
BM0032;242429;7931225;Cs (ppm);0.9881128402683519;0.7606232796170984;2
BM0033;241321;7933076;Cs (ppm);0.9095560292411753;0.7606232796170984;2
BM0035;239153;7934874;Cs (ppm);0.7937903846908186;0.7606232796170984;2
